Conflict,Size_company,Time,Clr,Returns,Workers,Osn_sred,Zapas,Deb_dolg,Active,Sr_obiaz,Sobs_capital,Renue,Sebestoist_sales,Profit,Profit_pure,Period_dolg_dnu,Period_zapas_dni,Period_deb_dolg_dni,Koef_autonomi,Cfl,Cal,proba,logit,pred,match,distance
1,0,0,3.8066,0.4734,34.0,1994000.0,5042000.0,19464000.0,73547000,18781000,54766000,94355000,47927000.0,47549000.0,44666000.0,95.03,11.2,52,0.7446,3.5381,2.5017,0.005383559879824058,-5.219007332468304,0,8829.0,-2.818602429410788e-05
1,0,1,3.5067,0.0483,6.0,324000.0,3155000.0,4583000.0,12664000,3519000,9145000,46177000,41642000.0,2807000.0,2231000.0,35.24,23.7,33,0.7221,2.6101,1.3078,0.0054108056647402545,-5.213931778725025,0,17592.0,-3.505312724705334e-05
1,1,1,11.7372,0.006,12.0,2000.0,1439000.0,213000.0,3218000,274000,2944000,10547000,9978000.0,273000.0,63000.0,9.82,39.1,6,0.9149,6.4854,5.708,0.00542120907918832,-5.21200045390872,0,23352.0,-2.771401690715436e-05
1,1,1,2.0203,0.1379,3.0,2068000.0,10000.0,13005000.0,15085000,6443000,8642000,7295000,6137000.0,1114000.0,1006000.0,234.93,0.3,522,0.5729,2.0188,0.0003,0.005429771008313398,-5.210413751712782,0,24434.0,-1.877958409224334e-05
1,1,1,1.7709,0.0612,11.0,38087000.0,59000.0,4204000.0,44428000,3580000,40847000,39316000,10616000.0,3744000.0,2405000.0,61.54,0.3,20,0.9194,1.7545,0.5802,0.005458444364254639,-5.205118048687637,0,18920.0,-5.3059622371343096e-05
1,1,1,4.0086,0.1771,9.0,370000.0,1690000.0,122000.0,2234000,465000,1769000,8108000,6450000.0,1516000.0,1436000.0,28.01,47.4,8,0.7919,0.3742,0.1118,0.005477905145926495,-5.201539559861107,0,9913.0,-1.7880064272723928e-05
1,1,0,3.9402,0.2223,1.0,11229000.0,43070000.0,25766000.0,80131000,17487000,52815000,42175000,13559000.0,9861000.0,9375000.0,228.99,368.4,304,0.6591,1.4772,0.0038,0.00548586606886731,-5.2000793313311755,0,24741.0,-6.073214027146889e-05
1,1,0,4.0286,0.1242,8.0,163000.0,1077000.0,1030000.0,5368000,1292000,4076000,19295000,18037000.0,2537000.0,2397000.0,26.02,23.9,24,0.7593,3.195,2.3978,0.00548722179076395,-5.199830868695312,0,24729.0,-2.4140729599331223e-05
1,1,1,3.9242,0.1017,6.0,238000.0,1446000.0,1523000.0,5262000,1280000,3981000,18304000,16442000.0,1979000.0,1861000.0,28.35,25.2,23,0.7566,2.7945,1.6047,0.005506723140295726,-5.196263603075328,0,10498.0,-6.38806041433071e-05
1,1,0,52.4737,-0.0021,28.0,2827000.0,31634000.0,2389000.0,50683000,912000,49771000,32911000,27695000.0,-69000.0,-69000.0,14.58,366.8,27,0.982,17.7873,5.9397,0.005530511561142717,-5.1919290997290375,0,31984.0,-1.1080393613305262e-05
1,1,1,4.7528,0.4856,12.0,20797000.0,16000.0,6307000.0,44681000,5025000,30656000,39816000,19864000.0,19687000.0,19333000.0,119.46,0.1,49,0.6861,4.7497,3.4945,0.005531149344281922,-5.191813144225764,0,5991.0,-7.752805216121317e-05
1,1,0,2.0637,0.2761,5.0,187000.0,1206000.0,18766000.0,22464000,10698000,11748000,16249000,11004000.0,5245000.0,4486000.0,359.76,14.7,318,0.523,1.9509,0.1968,0.005539486845515005,-5.19029852297583,0,2760.0,-3.0884899638650154e-05
1,1,0,4.0584,-0.0154,6.0,164000.0,382000.0,3216000.0,5376000,1268000,4108000,43583000,42299000.0,-238000.0,-672000.0,11.3,1.6,32,0.7641,3.7571,1.2208,0.005561738301198193,-5.18626731312733,0,16137.0,-7.924811778359242e-06
1,1,1,2.609,0.1144,6.0,317000.0,168000.0,330000.0,2112000,688000,1424000,9826000,8225000.0,1508000.0,1124000.0,17.6,3.1,11,0.6742,2.3648,1.8852,0.005564602199017651,-5.185749637191738,0,6805.0,-2.389915049771929e-05
1,1,0,2.8252,0.0596,8.0,468000.0,2568000.0,148000.0,3426000,1047000,2379000,10260000,9412000.0,681000.0,611000.0,29.32,75.7,5,0.6944,0.3725,0.2311,0.005568079832556645,-5.18512137893536,0,4462.0,-7.621526035173076e-06
1,1,0,66.1144,0.0825,14.0,269000.0,2009000.0,24589000.0,27442000,411000,27031000,49809000,43884000.0,5015000.0,4110000.0,3.32,7.8,165,0.985,61.2263,1.399,0.005601916987428477,-5.1790287540647135,0,30809.0,-2.0229269909854963e-05
1,1,1,9.7903,0.0121,1.0,8659000.0,2159000.0,92947000.0,104144000,9753000,1454000,20398000,26513000.0,451000.0,247000.0,424.96,56.9,2101,0.014,9.569,0.0389,0.0056068313445810924,-5.178146933108007,0,15162.0,-1.561874994404633e-05
1,1,1,3.0034,0.1813,7.0,1058000.0,1939000.0,1532000.0,6502000,1747000,4082000,22849000,17744000.0,4999000.0,4143000.0,32.29,16.3,15,0.6278,1.8935,1.0166,0.005609740327075417,-5.177625314013977,0,5278.0,-2.4019213284987018e-05
1,1,1,2.4251,0.1063,4.0,44000.0,524000.0,1484000.0,2069000,835000,1234000,12437000,10505000.0,1556000.0,1322000.0,3.25,10.8,44,0.5964,1.7976,0.0204,0.005609865640006312,-5.177602849788771,0,24402.0,-2.3571593855464812e-05
1,1,1,3.095,0.0235,3.0,18000.0,10854000.0,1807000.0,12884000,4157000,8727000,26590000,22854000.0,782000.0,626000.0,77.66,153.3,26,0.6774,0.484,0.0476,0.005625960107204998,-5.174721814302561,0,8442.0,-4.851861992172246e-05
1,1,1,3.6825,0.0906,6.0,218000.0,14402000.0,34788000.0,56101000,15163000,40938000,82584000,58712000.0,9377000.0,7484000.0,33.44,48.9,162,0.7297,2.7327,0.4374,0.005633983207161343,-5.173288676202501,0,2048.0,-1.2782064430894025e-05
1,1,1,1.11,0.0563,5.0,312000.0,2507000.0,36554000.0,39402000,35216000,4146000,7143000,6621000.0,502000.0,402000.0,2041.73,188.2,1889,0.1052,1.0388,0.0008,0.0056416374301048,-5.171923319546396,0,27755.0,-6.825427399537176e-05
1,1,0,2.7081,0.0143,3.0,8000.0,11340000.0,1810000.0,14296000,5276000,9020000,20605000,17547000.0,367000.0,294000.0,89.33,196.6,32,0.6309,0.5588,0.2144,0.0056427835526107525,-5.171719033323931,0,24176.0,-2.6020024818329546e-05
1,1,1,2.9002,0.1124,8.0,6000.0,1214000.0,12457000.0,14623000,5040000,9582000,24339000,20666000.0,2980000.0,2735000.0,88.71,24.0,164,0.6553,2.6593,0.1877,0.005666814511727312,-5.167445201806424,0,12216.0,-2.0679728248040874e-05
1,1,1,2.001,0.0568,8.0,3043000.0,69000.0,13413000.0,16648000,6799000,9850000,17455000,16051000.0,1031000.0,991000.0,154.46,1.9,281,0.5917,1.9909,0.0181,0.00570106578882028,-5.1613847622301945,0,2060.0,-5.89981181455812e-05
1,1,1,39.7415,-0.0001,28.0,3675000.0,34504000.0,2400000.0,55342000,1300000,54042000,42984000,36589000.0,-3000.0,-3000.0,11.53,296.4,21,0.9765,13.2,4.3408,0.005701541718746875,-5.161300806186566,0,19884.0,-7.451935717384117e-06
1,1,0,2.0062,0.0481,8.0,3291000.0,69000.0,14527000.0,18400000,7531000,10589000,22905000,21145000.0,1143000.0,1102000.0,120.43,1.1,223,0.5755,1.9971,0.0681,0.005710044228820926,-5.1598021006348995,0,26990.0,-2.5410558676774997e-05
1,1,0,2.4411,0.1852,7.0,4343000.0,35011000.0,19863000.0,59986000,22794000,37192000,126766000,108386000.0,24782000.0,23477000.0,82.21,92.2,37,0.62,0.9052,0.0011,0.005714697914090571,-5.1589827522814256,0,24350.0,-1.6947847684356532e-05
1,1,1,2.9709,0.0538,4.0,1872000.0,12000.0,7446000.0,11275000,3165000,6663000,58592000,33250000.0,4556000.0,3152000.0,126.11,29.2,52,0.591,2.9675,0.013,0.0057154160959182925,-5.158856365113263,0,14623.0,-2.1993154864397013e-05
1,1,0,2.3561,0.0396,7.0,57000.0,2932000.0,6744000.0,9776000,4125000,5651000,36182000,33209000.0,2076000.0,1433000.0,47.72,23.9,75,0.578,1.6453,0.0104,0.005725268111800771,-5.1571241785980835,0,30588.0,-5.520744319653659e-05
