№,Name,Reg_number,Name_Full,Company_year,Size_company,Conflict,T,Capital,Clr,Returns,Ndter,Rddta,Total_debt
17,"(КОЛХОЗ) ИМЕНИ ЧАПАЕВА, СПК",1.02E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ИМЕНИ ЧАПАЕВА ДЕБЕССКОГО РАЙОНА УДМУРТСКОЙ РЕСПУБЛИКИ,30,0,0,0,78275000,1.8905,0.0615,0.0838,0.0083,22461000
17,"(КОЛХОЗ) ИМЕНИ ЧАПАЕВА, СПК",1.02E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ИМЕНИ ЧАПАЕВА ДЕБЕССКОГО РАЙОНА УДМУРТСКОЙ РЕСПУБЛИКИ,30,0,0,1,88251000,3.5646,0.1399,0.0776,0.0414,18594000
20,"(ЮСК), ООО СК",1.16E+12,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ КОМПАНИЯ (ЮСК),7,0,0,0,-1563000,0.7782,0.0727,0.128,0.3305,9775000
20,"(ЮСК), ООО СК",1.16E+12,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ КОМПАНИЯ (ЮСК),7,0,0,1,-1429000,0.93,0.0089,1.2337,0.3285,30026000
22,"1 БАЗА СНАБЖЕНИЯ, ЗАО",1.03E+12,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕРВАЯ БАЗА СНАБЖЕНИЯ""",20.5,0,0,0,-93415000,0.208,-0.0311,-0.0817,0.016,184262000
22,"1 БАЗА СНАБЖЕНИЯ, ЗАО",1.03E+12,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕРВАЯ БАЗА СНАБЖЕНИЯ""",20.5,0,0,1,-103889000,0.6697,0.0101,-0.0771,0.0795,203338000
25,"1 СМК, ООО",1.16E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВЫЙ СРЕДНЕРУССКИЙ МЕБЕЛЬНЫЙ КОМБИНАТ""",21,0,0,0,6112000,0.1865,0.1016,21.7601,0.0282,236335000
25,"1 СМК, ООО",1.16E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВЫЙ СРЕДНЕРУССКИЙ МЕБЕЛЬНЫЙ КОМБИНАТ""",21,0,0,1,-16722000,0.1103,-0.316,-8.4808,0.0164,217019000
27,"1 ЮВЕЛИРНАЯ СЕТЬ, АО",5.19E+12,АКЦИОНЕРНОЕ ОБЩЕСТВО «1 ЮВЕЛИРНАЯ СЕТЬ»,4,1,0,1,-78904000,0.9322,-0.0882,-0.1426,0.6405,2480835000
29,"1-МАЯ, СПК (КОЛХОЗ)",1.02E+12,"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ""1-МАЯ""",31,0,0,1,113778000,2.6595,0.0587,0.0396,0.0528,42315000
29,"1-МАЯ, СПК (КОЛХОЗ)",1.02E+12,"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ""1-МАЯ""",31,0,0,0,112469000,2.7393,-0.0808,0.2144,0.0174,43467000
32,"1-Я ОРЛОВСКАЯ МТС, ООО",1.16E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""1-Я ОРЛОВСКАЯ МТС""",7.5,0,0,0,15612000,1.1143,0.0506,-0.0407,0.5246,12772000
32,"1-Я ОРЛОВСКАЯ МТС, ООО",1.16E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""1-Я ОРЛОВСКАЯ МТС""",7.5,0,0,1,7131000,0.9262,0.0339,-0.1111,0.4775,17618000
35,"100 КОЛЕС, ООО",1.15E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""100 КОЛЕС""",8,0,0,0,59754000,6.2838,0.4843,0.1314,0.0537,10589000
35,"100 КОЛЕС, ООО",1.15E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""100 КОЛЕС""",8,0,0,1,68007000,6.6686,0.1609,0.0851,0.0699,11369000
37,"100 ТОНН ОБОРУДОВАНИЕ, ООО",1.16E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""100 ТОНН ОБОРУДОВАНИЕ""",7,0,0,1,50438000,27.4123,0.5311,0.0051,0.6535,1232000
38,"100 ТОНН, ООО",1.03E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""100 ТОНН""",24.5,0,0,0,1950000,2.1059,0.1112,1.2892,0.9587,7276000
38,"100 ТОНН, ООО",1.03E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""100 ТОНН""",24.5,0,0,1,3557000,1.5932,0.3651,0.4434,0.727,7195000
39,"100-ДОРОГ21, ООО",1.19E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""100-ДОРОГ21""",3,0,0,1,10000,,0.69,-1,,
40,"1000 МЕТРОВ, ООО",1.16E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""1000 МЕТРОВ""",7.5,0,0,0,3570000,67.4,0.1841,-0.4731,0.2705,45000
